Loc,date_dec,meansst
Maria ,1991.7479452054795,12.6225803630246
Bichen,1991.7479452054795,12.8561287449012
BassSt,1991.7479452054795,13.0035480964448
Port P,1991.7479452054795,14.1354835550151
Jervis,1991.7479452054795,16.9199996218085
Jurien,1991.7479452054795,19.7619350421573
Port D,1991.8328767123287,12.074333063451
Ninepi,1991.8328767123287,12.176666394497
Tinder,1991.8328767123287,12.3943330562984
Maria ,1991.8328767123287,13.1029997071251
Bichen,1991.8328767123287,13.5216663644339
BassSt,1991.8328767123287,13.7939996916801
Port P,1991.8328767123287,15.0039996646345
Jervis,1991.8328767123287,18.5009995864704
Jurien,1991.8328767123287,19.4156662326927
Port D,1991.9150684931508,13.2587093810641
Ninepi,1991.9150684931508,13.6841932425215
Tinder,1991.9150684931508,13.9299996886402
Maria ,1991.9150684931508,15.2006448215294
Bichen,1991.9150684931508,15.7219351324583
BassSt,1991.9150684931508,15.8145157755503
Port P,1991.9150684931508,16.4512899548657
Jervis,1991.9150684931508,19.9119350388045
Jurien,1991.9150684931508,20.2903221271211
Port D,1992,13.3280642182236
Ninepi,1992,14.1906448441047
Tinder,1992,14.3761287109265
Maria ,1992,15.7099996488541
Bichen,1992,16.0703222214455
BassSt,1992,16.2961286680112
Port P,1992,17.1096770369237
Jervis,1992,21.1141930764481
Jurien,1992,22.0119349918659
Port D,1992.0846994535518,14.3320686451705
Ninepi,1992.0846994535518,14.626551397209
Tinder,1992.0846994535518,14.935172079966
Maria ,1992.0846994535518,16.5699996296316
Bichen,1992.0846994535518,17.1006892729422
BassSt,1992.0846994535518,17.3696547841717
Port P,1992.0846994535518,18.1596547665139
Jervis,1992.0846994535518,21.8934477865054
Jurien,1992.0846994535518,22.8237925932967
Port D,1992.1639344262296,14.9141932150289
Ninepi,1992.1639344262296,15.3280641735201
Tinder,1992.1639344262296,15.7603222283745
Maria ,1992.1639344262296,17.0335480063673
Bichen,1992.1639344262296,17.760322183671
BassSt,1992.1639344262296,17.6929028303392
Port P,1992.1639344262296,18.7216124847651
Jervis,1992.1639344262296,22.78903174869
Jurien,1992.1639344262296,22.4519349820311
Port D,1992.2486338797814,13.9683330211168
Ninepi,1992.2486338797814,14.2173330155512
Tinder,1992.2486338797814,14.6709996720776
Maria ,1992.2486338797814,16.1163329731052
Bichen,1992.2486338797814,16.5316662971551
BassSt,1992.2486338797814,16.2423329702889
Port P,1992.2486338797814,17.3846662780891
Jervis,1992.2486338797814,21.0386661964158
Jurien,1992.2486338797814,22.482332830814
Port D,1992.3306010928961,13.8725803350849
Ninepi,1992.3306010928961,13.6667738880722
Tinder,1992.3306010928961,13.6025803411199
Maria ,1992.3306010928961,15.3732254628332
Bichen,1992.3306010928961,16.2138706053337
BassSt,1992.3306010928961,15.5577415877412
Port P,1992.3306010928961,15.9441931920066
Jervis,1992.3306010928961,20.0216124557079
Jurien,1992.3306010928961,22.4187091763221
Port D,1992.4153005464482,13.0656663746263
Ninepi,1992.4153005464482,13.0386663752298
Tinder,1992.4153005464482,12.7189997157082
Maria ,1992.4153005464482,13.4253330332537
Bichen,1992.4153005464482,14.0566663524757
BassSt,1992.4153005464482,14.2403330150371
Port P,1992.4153005464482,14.0523330192392
Jervis,1992.4153005464482,19.7923328909402
Jurien,1992.4153005464482,21.5559995181859
Port D,1992.4972677595629,12.4322577866335
Ninepi,1992.4972677595629,12.2899997252971
Tinder,1992.4972677595629,12.0858061814741
Maria ,1992.4972677595629,12.1774190826522
Bichen,1992.4972677595629,12.3474190788524
BassSt,1992.4972677595629,12.3025803701772
Port P,1992.4972677595629,12.6948384259257
Jervis,1992.4972677595629,17.8316125046582
Jurien,1992.4972677595629,20.8187092120849
Port D,1992.5819672131147,11.7935481234904
Ninepi,1992.5819672131147,11.9112900563426
Tinder,1992.5819672131147,11.592257805409
Maria ,1992.5819672131147,11.7758061884031
Bichen,1992.5819672131147,11.9499997328967
BassSt,1992.5819672131147,11.4567739374695
Port P,1992.5819672131147,12.4512900442726
Jervis,1992.5819672131147,16.8161286563883
Jurien,1992.5819672131147,20.1767737425623
Port D,1992.6666666666667,11.4746664101879
Ninepi,1992.6666666666667,11.5489997418597
Tinder,1992.6666666666667,11.3729997457936
Maria ,1992.6666666666667,11.6139997404069
Bichen,1992.6666666666667,12.2229997267947
BassSt,1992.6666666666667,12.0156663980956
Port P,1992.6666666666667,12.4136663891996
Jervis,1992.6666666666667,16.7836662915225
Jurien,1992.6666666666667,19.2389995699748
Port D,1992.7486338797814,12.1874190824287
Ninepi,1992.7486338797814,11.9993545705032
Tinder,1992.7486338797814,11.9748384420189
Maria ,1992.7486338797814,12.1080642454927
Bichen,1992.7486338797814,12.6587093944751
BassSt,1992.7486338797814,12.6629029427685
Port P,1992.7486338797814,13.7090319516438
Jervis,1992.7486338797814,18.0016125008584
Jurien,1992.7486338797814,18.9487092538827
Port D,1992.8333333333333,13.21999970451
Ninepi,1992.8333333333333,12.9919997096062
Tinder,1992.8333333333333,13.1326663731287
Maria ,1992.8333333333333,13.4023330337678
Bichen,1992.8333333333333,13.8376663573707
BassSt,1992.8333333333333,13.961999687925
Port P,1992.8333333333333,14.8229996686801
Jervis,1992.8333333333333,19.0226662414769
Jurien,1992.8333333333333,19.9633328871181
Port D,1992.9153005464482,14.4803222569847
Ninepi,1992.9153005464482,14.0487093634062
Tinder,1992.9153005464482,14.1099996846169
Maria ,1992.9153005464482,14.8141932172641
Bichen,1992.9153005464482,15.3322577218135
BassSt,1992.9153005464482,15.7135480358716
Port P,1992.9153005464482,16.1370964135013
Jervis,1992.9153005464482,19.994193101482
Jurien,1992.9153005464482,20.9496769510931
Port D,1993,15.2387093368077
Ninepi,1993,15.2332254659625
Tinder,1993,15.4238706229916
Maria ,1993,16.4377415680717
Bichen,1993,17.5187092858457
BassSt,1993,17.1980641317223
Port P,1993,18.3890318470376
Jervis,1993,21.529999518767
Jurien,1993,21.5848382272187
Port D,1993.0849315068492,15.631785364888101
Ninepi,1993.0849315068492,15.7482139337143
Tinder,1993.0849315068492,15.8674996453337
Maria ,1993.0849315068492,16.9599996209145
Bichen,1993.0849315068492,17.9057138854904
BassSt,1993.0849315068492,18.2917853054324
Port P,1993.0849315068492,19.2107138563214
Jervis,1993.0849315068492,22.0964280775349
Jurien,1993.0849315068492,21.4489280920077
Port D,1993.1616438356164,15.2545157880673
Ninepi,1993.1616438356164,16.0161286742697
Tinder,1993.1616438356164,16.0112899647004
Maria ,1993.1616438356164,16.9045157511869
Bichen,1993.1616438356164,17.7674189577059
BassSt,1993.1616438356164,17.9377415345441
Port P,1993.1616438356164,18.2080641091471
Jervis,1993.1616438356164,21.4658059718147
Jurien,1993.1616438356164,21.5119350030417
Port D,1993.2465753424658,14.6996663381035
Ninepi,1993.2465753424658,15.1353329950323
Tinder,1993.2465753424658,15.2096663267041
Maria ,1993.2465753424658,15.9586663099627
Bichen,1993.2465753424658,16.9173329552015
BassSt,1993.2465753424658,16.8243329572802
Port P,1993.2465753424658,17.3203329461937
Jervis,1993.2465753424658,20.6853328709801
Jurien,1993.2465753424658,21.5636661846812
Port D,1993.3287671232877,14.2703222616786
Ninepi,1993.3287671232877,14.2503222621256
Tinder,1993.3287671232877,14.1206448456693
Maria ,1993.3287671232877,15.1458061130777
Bichen,1993.3287671232877,15.6432254567983
BassSt,1993.3287671232877,15.6799996495247
Port P,1993.3287671232877,16.0490318993407
Jervis,1993.3287671232877,19.2267737637965
Jurien,1993.3287671232877,21.5654833889416
Port D,1993.4136986301369,12.4033330560972
Ninepi,1993.4136986301369,12.8103330470001
Tinder,1993.4136986301369,12.489333054175
Maria ,1993.4136986301369,13.2819997031242
Bichen,1993.4136986301369,13.9413330217203
BassSt,1993.4136986301369,13.762999692373
Port P,1993.4136986301369,14.1896663495029
Jervis,1993.4136986301369,17.6206662728141
Jurien,1993.4136986301369,21.1573328604301
Port D,1993.495890410959,12.4370964962028
Ninepi,1993.495890410959,12.0648384400073
Tinder,1993.495890410959,11.6896771580702
Maria ,1993.495890410959,12.2793545642447
Bichen,1993.495890410959,13.1970964792154
BassSt,1993.495890410959,12.7525803601189
Port P,1993.495890410959,12.7841932626381
Jervis,1993.495890410959,16.6899996269494
Jurien,1993.495890410959,20.1003221313679
Port D,1993.5808219178082,12.1748384375486
Ninepi,1993.5808219178082,11.8212900583542
Tinder,1993.5808219178082,11.4629029695906
Maria ,1993.5808219178082,12.0277416666429
Bichen,1993.5808219178082,12.2132255334647
BassSt,1993.5808219178082,11.928386830154
Port P,1993.5808219178082,12.4790319791364
Jervis,1993.5808219178082,15.7932254534455
Jurien,1993.5808219178082,19.7632253647091
Port D,1993.6657534246576,11.9053330672284
Ninepi,1993.6657534246576,11.857999734953
Tinder,1993.6657534246576,11.6479997396469
Maria ,1993.6657534246576,11.9106664004425
Bichen,1993.6657534246576,12.2633330592265
BassSt,1993.6657534246576,12.2286663933347
Port P,1993.6657534246576,12.8569997126237
Jervis,1993.6657534246576,16.4986662978927
Jurien,1993.6657534246576,19.2249995702878
Port D,1993.7479452054795,11.8209674777163
Ninepi,1993.7479452054795,12.257419080864
Tinder,1993.7479452054795,12.2854835963658
Maria ,1993.7479452054795,12.4832255274298
Bichen,1993.7479452054795,12.6829029423215
BassSt,1993.7479452054795,12.7751610047755
Port P,1993.7479452054795,13.773548079234
Jervis,1993.7479452054795,17.430644771685
Jurien,1993.7479452054795,18.8599995784461
Port D,1993.8328767123287,12.2096663937594
Ninepi,1993.8328767123287,12.3486663906525
Tinder,1993.8328767123287,12.4933330540856
Maria ,1993.8328767123287,13.1279997065663
Bichen,1993.8328767123287,13.5876663629587
BassSt,1993.8328767123287,13.924999688752
Port P,1993.8328767123287,15.0066663312415
Jervis,1993.8328767123287,18.5263329192375
Jurien,1993.8328767123287,19.9743328868722
Port D,1993.9150684931508,13.5799996964633
Ninepi,1993.9150684931508,13.5338706652363
Tinder,1993.9150684931508,13.7167738869546
Maria ,1993.9150684931508,14.8206448300231
